canonical_name,slug,used_in_n_workout_slots,aliases,exercise_url
Lying Leg Raise,lying-floor-leg-raise,54,"Lying Leg Raises; 5B: Lying Leg Raises; Lying Floor Leg Raise; Floor leg raise/crunch combo; 2. Lying Leg Raise; 7b. Lying Leg Lift; 2e. Leg Raises; D. Leg Raises; Triset: Lying leg raise, floor crunch and plank; 2. Lying Floor Leg Raise; 1b. Lying Leg Raise; 1a. Lying Leg Raise; D2: Lying Leg Raise; Lying Leg Lift; 5a. Lying Leg Lift",https://www.muscleandstrength.com/exercises/lying-floor-leg-raise.html
Goblet Squat,dumbbell-goblet-squat,53,Dumbbell Goblet Squat; 1. Goblet Squat; 2a. Goblet Squat; Goblet Squats; A2. Goblet Squat; B1. Goblet Squat; 4a. Goblet Squat; Goblet squats; 1. Dumbbell Goblet Squat; B1. Dumbbell Goblet Squat; 1b. Goblet Squat; 1a. Goblet Squat; Goblet Squat with Sumo Stance; Goblet Squats 3; 4b. Goblet Squat,https://www.muscleandstrength.com/exercises/dumbbell-goblet-squat
Incline Bench Press,incline-bench-press,52,Incline Barbell Bench Press; Incline Bench Press (superset #2); Incline Bench Press  - Muscle; 1A. Incline Bench Press (High Touch Point Full Motion); 7. Incline Press; Incline Bench Press*; Incline Bench Press followed by pushups; Incline Bench Press (Dumbbell or Barbell); 2. Incline Barbell Bench; 1. Incline Barbell Bench Press; Incline Press or Military Press; 2. Incline Barbell Chest Press; 1. Incline Bench Press; 2. Incline Bench; 2a. Incline Bench Press; Incline Bench Press - Week 2; High Seated Incline Bench Press OR Dips; 1a. Barbell Incline Press; 1. Incline Bench Barbell Press; 1a. Incline Bench Press; 4. Incline Bench Press; Barbell Incline Press,https://www.muscleandstrength.com/exercises/incline-bench-press.html
Ab Crunch,ab-crunch,51,Crunch; Crunches; Floor Crunch; Floor Crunches; Abdominal Crunch; 7a. Ab Crunch; 2e. Ab Crunch; B. Crunches; 8. Floor Crunch; 8. Crunches; 1. Ab Crunch; 5. Ab Crunch; 5b. Ab Crunch; 5a. Ab Crunch,https://www.muscleandstrength.com/exercises/ab-crunch
Wide Grip Pull Up,wide-grip-pull-up,51,Wide grip pull ups; Pull-up; Pull Up or Chin Up; Pull Ups or Inverted Rows; Wide Grip Pull Ups; Wide-Grip Pull-Up Or Pulldown; Pull Ups or One Arm Dumbbell Rows; Wide Grip Pull Up*; Wide Grip Weighted Pull Ups; Pull-ups; (Weighted) Pull-ups; Wide Grip Pull Ups (Or Pulldowns if Needed); Pull Up or Rack Chins; Medium-Grip Pull Up; 1. Pullups; 2. Wide Grip Pull Up; 3a. Wide Grip Pullups; Pull-Ups; 11a. Pullups; 1b. Pull Up; Wide Grip Pull Ups (triset #3); Wide Grip Pull Up (superset #1); Pull Up (superset #1); Weighted Wide Grip Pull Up; Weighted Chin-ups; 1b. Pullup; Pull Ups or Lat Pull Down; 3. Wide Pronated Grip Pull-ups with Chains; Pull Ups - Week 1; 2a. Wide Grip Pull-ups; 3. Medium or Wide-Grip Pull-Up (add weight if necessary); Wide-grip Pullup; Pull Up (Add weight if you can do 15+ reps); B2. Wide Grip Pull Ups; 7. Pull Ups; A2: Wide-Grip Pull-Up; B2. Wide Grip Pull Up; 5. Pullup; Pull Ups or Machine Rows - 3 sec negative,https://www.muscleandstrength.com/exercises/wide-grip-pull-up.html
Dumbbell Pullover,dumbbell-pullover,49,"1a. Dumbbell Pullovers; 1. DB Pullovers; 4. Dumbbell Pullover; Dumbbell Pullover (superset #3); 5. Lying Dumbbell Pullover; Kettlebell Pullover; 1a. DB Pullovers + Crunch (on swiss ball); Dumbbell Pull Over; Dumbbell Pullovers; 1b. Dumbbell Pullover; 3a. Dumbbell Pullover; Dumbbell Pullover (triset #3); Alternate: Dumbbell Pullover, Cable Crossover, Hammer Strength Chest Press; Pick One (triset): Dumbbell Pullover, Cable Crossover, Hammer Strength Bench Press; 2b. Dumbbell Pull Over; 5a. Pullovers",https://www.muscleandstrength.com/exercises/dumbbell-pullover.html
Stiff Leg Deadlift,stiff-leg-deadlift-aka-romanian-deadlift,49,Stiff Legged Deadlift; Stiff Leg Deadlifts; Barbell Romanian Deadlift; Stiff Leg Deadlift - Power; 1. Stiff Leg Deadlift; B1. Stiff Leg Deadlift; Barbell Stiff Leg Deadlift; 1a. Stiff-Leg Deadlift; 3. Stiff Leg Deadlifts; 4a. Stiff-Legged Deadlift; 6. Stiff-Legged Deadlifts; B. Deficit Stiff-Leg Deadlift; 3b. Stiff Legged Deadlift; Superset: Stiff Leg Deadlift and lying leg lift; Stiff Leg Deadlift (triset #2); Barbell Stiff-Legged Deadlift; 2b. Stiff-Leg Deadlift; 3. Stiff-Legged Deadlifts*; Romanian Deadlift - Muscle; 5. Stiff Legged Deadlift; 3a. Stiff Leg Deadlift; 2. Stiff-Legged Deadlifts**; Stiff-Leg Deadlifts 3,https://www.muscleandstrength.com/exercises/stiff-leg-deadlift-aka-romanian-deadlift.html
Seated Dumbbell Press,seated-dumbbell-press,48,Dumbbell Shoulder Press; Seated Dumbbell Shoulder Press; 4. Seated Dumbbell Press; C2. Seated Dumbbell Press; 3. Seated Dumbbell Press; 2. Seated Dumbbell Press; Overhead Dumbbell Press (triset #1); Seated Dumbbell Press - Week 1; 6. Seated Dumbbell Shoulder Press; 2. Seated Shoulder Press; Seated Overhead Dumbbell Press,https://www.muscleandstrength.com/exercises/seated-dumbbell-press.html
Dumbbell Stiff Leg Deadlift,dumbbell-stiff-leg-deadlift,47,Dumbbell Stiff Legged Deadlift; Stiff-Leg Deadlift; Dumbbell Stiff Leg Deadlifts; 2. Dumbbell Stiff Legged Deadlift; 4. Dumbbell Stiff Leg Deadlift; Stiff-Legged Deadlift; B1. Dumbbell Stiff Leg Deadlift; Dumbbell Stiff Legged Deadlifts; Dumbbell Stiff Leg Deadlift - Muscle; B3. Dumbbell Stiff Leg Deadlift; Dumbbell Stiff Leg Deadlifts or Glute Ham Raise; 2. Dumbbell Stiff Leg Deadlift; 1. Dumbbell Stiff Leg Deadlift; C. Dumbbell Stiff Leg Deadlift; 5. Dumbbell Stiff Leg Deadlift; 3. Dumbbell Stiff Leg Deadlift; 3a. Dumbbell Stiff Legged Deadlift; D1. Dumbbell Stiff Leg Deadlift; Dumbbell Stiff-leg Deadlift; 3b. Dumbbell Stiff Leg Deadlift,https://www.muscleandstrength.com/exercises/dumbbell-stiff-leg-deadlift.html
Close Grip Bench Press,close-grip-bench-press,46,- Close grip / medium grip / wide grip: 10 reps each; 2. Close Grip Bench Press; Closegrip Bench Press - Power; Close Grip Bench Press or Paused Bench Press; Close Grip Bench Press - Power; 5b. Close Grip Bench Press; Close-Grip Bench Press (try to use the same weight for all sets.); Close-Grip Bench Press (Try to use the same weight for all sets.); Close Grip Bench Press (Pump); Close-Grip Bench Press; 1. Close Grip Bench Press; Close Grip Barbell Bench Press; Close Grip Preacher Bench (triset #2); Close Grip Bench Press **; 2. Close-Grip Bench Press; 3. Close Grip Bench Press; a. Close Grip Barbell Bench Press; * Close Grip Bench Press (SPLASH principle); Narrow Grip Bench Press; Close Grip Bench Press or Assisted Dips,https://www.muscleandstrength.com/exercises/close-grip-bench-press.html
Dumbbell Shrug,dumbbell-shrugs,44,"Dumbbell Shrugs; Dumbbell Shrug - Burn; 9. Dumbbell Shrug; Shrugs; Shrugs (Dumbbell, Barbell, or Trap Bar); B3. Dumbbell Shrug; 6. Dumbbell Shrug; 5b. Dumbbell Shrugs; Band Shrug; Shrug (with hold); Peak Contraction Dumbbell Shrugs; 3c. Dumbbell Shrug; Dumbbell Shrugs (Shrugs target the traps which are part of the back); 7. Dumbbell Shrug; Dumbbell Shrug & Hold; Dumbbell Shrugs  - Muscle; Single Arm Dumbbell Shrug; 4. Dumbbell Shrug; C1: Dumbbell Shrug; 11. Shrugs; 6. Shrugs*; 8. Dumbbell Shrugs",https://www.muscleandstrength.com/exercises/dumbbell-shrugs.html
Dumbbell Row,bent-over-dumbbell-row,44,Bent-Over Dumbbell Row; Bent Over Dumbbell Row; Two Arm Dumbbell Row; 3. Bent Over Dumbbell Row; Dumbbell Bent Over Row; B2. Dumbbell Row; 2. Dumbbell Row; B1. Dumbbell Row; Band Bent-Over Row; 4b. Standing Dumbbell Row; 1. Bent Over Dumbbell Row; A2. Dumbbell Row; 1. Dumbbell Row; Dumbbell Rows  - Muscle; Dumbbell Bent Over Rows; 3a. Bent Over Dumbbell Row; 1b. Dumbbell Row,https://www.muscleandstrength.com/exercises/bent-over-dumbbell-row.html
Dumbbell Curl,standing-dumbbell-curl,44,"Standing Dumbbell Curl; Dumbbell Curls; Dumbbell Bicep Curl; 5. Dumbbell Bicep Curl; 5. Dumbbell Curls; 4a. Dumbbell Curl; 6. Standing Dumbbell Curl; 3b. Dumbbell Biceps Curl; C. Dumbbell Wide Curls; 3a. Dumbbell Curl; 1. Bicep Curls; Biceps Curl to Shoulder Press (standing, perform bicep curl and then shoulder press up, lower weights and repeat); e. Dumbbell Curls w/ ¼ rep at top; 6. Dumbbell Curl",https://www.muscleandstrength.com/exercises/standing-dumbbell-curl.html
Pull Up,pull-up,43,Pull Ups; Pull Up or Lat Pull Down; Medium-Width Grip Pull-Ups; A1. Pull Up; 1B: Medium or Wide-Grip Pull-Ups; Pull Ups/Dumbbell Shoulder Press (Superset); B3. Pull Up; B2. Pull Up; Pull Up (or Lat Pull Down); 1. Pull Up; 3. Pull Ups*; 2a. Pull Ups; (Assisted) Pull Up; Shoulder Width Reverse Grip Pull Up; 3. Pull-Up; 2c. Pull Up; 3b. Pull Up; Pull Up or Pullover; 1a. Pull Up; Pull Ups or Banded Pull Ups; Pull-Ups or Bent Over Rows 3,https://www.muscleandstrength.com/exercises/pull-up
Hanging Leg Raise,hanging-leg-raise,42,"Hanging Leg Raises; 7. Hanging Leg Raise; Leg Raises; Weighted leg raise; Hanging leg raises or lying leg raises; 6. Hanging Leg Raise; 7b. Hanging Leg Raise; Leg Raise; B. Hanging Leg Raises; Hanging Leg Lift; Triset: Hanging leg raise, 3-way plank and jump rope or mountain climbers; 6a. Hanging Straight Leg Raise; Hanging or Lying Leg Raise; 2. Hanging Leg Raises; E1. Hanging Straight Leg Raise; 11. Hanging Leg Raise; C1: Hanging Leg Raise; D2: Bent-Knee Hanging Less Raise; Hanging Straight Leg Raise; 7. Leg Raises; 5b. Hanging Leg Raise",https://www.muscleandstrength.com/exercises/hanging-leg-raise.html
