canonical_name,slug,used_in_n_workout_slots,aliases,exercise_url
Lunges,bodyweight-lunge,14,Stationary Lunges; Bodyweight Lunges; Bodyweight Lunge (each leg); Forward Lunge; Bodyweight Lunge; Alternating Bodyweight Lunges; Alternating Bodyweight Lunge; Bodyweight Lunge (per leg); Walking or stationary lunge,https://www.muscleandstrength.com/exercises/bodyweight-lunge.html
Machine Preacher Curl,bicep-machine-curl,14,Machine Curls; Machine Bicep Curl; Machine Preacher Curls; Machine Curl; Machine Curls (superset); 4. Machine Preacher Curl; 7. Machine Curl; 4. Preacher Machine Curl,https://www.muscleandstrength.com/exercises/bicep-machine-curl.html
Hanging Knee Raise,hanging-knee-raise,13,"Hanging Knee Raises (Knees to Elbows); Hanging knee raise, twisting; 3d. Hanging Knee Raise; Hanging Knee Raise (Alternate sides); Hanging Knee Raises; 8. Hanging Knee-Ups; 7. Hanging Knee Ups; 6b. Hanging Knee Raise",https://www.muscleandstrength.com/exercises/hanging-knee-raise.html
Seated Arnold Press,seated-arnold-press,13,Seated Arnold Press  - Muscle; 1. Arnold Press; Seated Arnold Press - Muscle; Dumbbell Arnold Press; 2a. Arnold Press; 5. Seated Dumbbell Arnold Press; 2b. Seated Dumbbell Arnold Press; 2. Arnold Press,https://www.muscleandstrength.com/exercises/seated-arnold-press.html
Bodyweight Squat,bodyweight-squat,13,Deep Squats (3 Second Pause At Bottom); Bodyweight Squats; A3. Bodyweight Squat; 2a. Air Squat; 1a. Bodyweight Squats; 3a. Body Squats,https://www.muscleandstrength.com/exercises/bodyweight-squat.html
Cable Crossover,cable-crossovers-%28upper-chest%29,13,6. Crossover; 4. Cable Crossover; 1. Cable Crossover; 5. Cable Crossover,https://www.muscleandstrength.com/exercises/cable-crossovers-%28upper-chest%29.html
Good Mornings,good-mornings,13,Barbell Good Mornings; A1. Barbell Good Morning; Barbell Good Morning; 1. Good Morning; 2. Good Morning; Wide Stance Good Mornings; 2. Good Mornings; Good Morning; D1. Good Morning,https://www.muscleandstrength.com/exercises/good-mornings.html
High Bar Close Stance Squats,narrow-stance-high-bar-squat,13,,https://www.muscleandstrength.com/exercises/narrow-stance-high-bar-squat
French Press,french-press,12,A2. French Press; 8. French Press; Overhead Barbell Tricep Ext; 6. Barbell Overhead Extension; 7. Overhead Cambered Bar Extensions; French Press/Skull Crusher (Last set is a burnout set); 10. French Press; 7. Standing Barbell Tricep Extension,https://www.muscleandstrength.com/exercises/french-press.html
Dumbbell Front Raise,dumbbell-front-raise,12,A2. Front Raise; C2. Front Raise; Front Raise (Long Pause at the Top); 4. Dumbbell Front Raise; 4b. Dumbbell Front Raise; c. Front Raises; 3a. Front Raise,https://www.muscleandstrength.com/exercises/dumbbell-front-raise.html
Close Grip Lat Pull Down,close-grip-pull-down,12,Close Grip Pull Down; 4a. Close Grip Lat Pull Down; 1. Close Grip Pull Downs; Narrow-Grip Lat Pulldown; 1. Narrow Unilateral Lat Pull-down; 5. Close Grip Pull Down; 1. Close Grip Pull Down; V-Bar Lat Pull Down - 3 sec negative,https://www.muscleandstrength.com/exercises/close-grip-pull-down.html
Exercise Ball Crunch,swiss-ball-crunch,12,Exercise Ball Ab Crunch; Weighted exercise ball crunch; 8. Exercise Ball Crunch; Swiss Ball Crunch; Exercise Ball Crunches; 1. Stability Ball Crunch; Swiss Ball Crunches,https://www.muscleandstrength.com/exercises/swiss-ball-crunch.html
Farmers Carry,farmers-walk,12,Farmers Walk; Loaded Carry; 5. Farmers Walk; 4a. Farmers Carry; 3b. Farmers Walk; 4c. Farmer's Walk; Dumbbell Farmer’s Walk,https://www.muscleandstrength.com/exercises/farmers-walk
Preacher Curls,preacher-curl,12,Preacher Curl (machine or free weight); A1. Barbell Preacher Curl; 90 Degree Side Barbell Preacher Curl; Barbell Preacher Curl; 2a. Preacher Curls; 7. Barbell Preacher Curls; 3c. Preacher Curls,https://www.muscleandstrength.com/exercises/preacher-curl.html
Standing Barbell Calf Raise,standing-calf-raise,12,Barbell Calf Raise; Standing Calf Raise (one leg); 4b. Standing Calf Raise; 6a. Standing Calf Raise; 6a. Barbell Calf Raise; 4. Standing Barbell Calf Raise; Standing Barbell Calf Raises,https://www.muscleandstrength.com/exercises/standing-calf-raise.html
Dumbbell Overhead Tricep Extension,two-arm-standing-dumbbell-extension,12,Overhead Kettlebell Extension; Overhead Dumbbell Tricep Extension; Dumbbell Tricep Overhead Extension; Dumbbell Rear Delt Fly; 3b. Elbows Out Dumbbell Extension; 3a. Elbows Out Dumbbell Extension; 4b. Tricep Overhead Extension; Two-Arm Overhead Extension; 2a. Overhead Dumbbell Extensions; 4b. Overhead Dumbbell Tricep Extension,https://www.muscleandstrength.com/exercises/two-arm-standing-dumbbell-extension.html
1b. Straight Arm Lat Pulldowns,straight-arm-lat-pull-down,12,Straight Arm Lat Pull Down; Straight arm lat pull down (2-1-2 rep timing); 3b. Straight Arm Pulldown; 2b. Straight Arm Pulldowns; 2a. Straight Arm Lat Pulldowns; C. Cable Straight Arm Pull Down; 5. Straight Arm Lat Pull Down; 9. Straight Arm Pull Down,https://www.muscleandstrength.com/exercises/straight-arm-lat-pull-down.html
Machine Reverse Fly,machine-reverse-fly,12,Reverse Pec-Deck; 7. Reverse Machine Fly; Reverse Fly; 3. Rear Delt Machine Fly; Reverse Machine Fly; C2. Reverse Machine Fly; 6. Rear Delt Machine Fly*; Reverse Fly Machine,https://www.muscleandstrength.com/exercises/machine-reverse-fly
Barbell Wrist Curl,barbell-wrist-curl,11,Seated Barbell Wrist Curl; Wrist curl; Wrist Curl; 3. Seated Wrist Curls,https://www.muscleandstrength.com/exercises/barbell-wrist-curl.html
Jump Rope,,11,,
Dumbbell Upright Row,dumbbell-upright-row,11,Kettlebell Upright Row; 1b. Dumbbell Upright Row; 6. Dumbbell Upright Row; 2b. Dumbbell Upright Row,https://www.muscleandstrength.com/exercises/dumbbell-upright-row.html
Machine Chest Press,hammer-strength-bench-press,11,Hammer Strength Bench Press - Muscle; Seated Chest Press Machine; Machine Flat Press; Leverage Chest Press; 1. Machine Chest Press; Hammer Strength Bench; 1. Hammer Strength Machine Bench Press; 3. Machine Bench Press; Machine Chest Press - 3 sec negative,https://www.muscleandstrength.com/exercises/hammer-strength-bench-press.html
Front Raise,barbell-front-raise,10,Barbell Front Raise - Muscle; Shoulder Wide Grip Barbell Front Raise; Barbell Front Raise; Front Barbell Raise,https://www.muscleandstrength.com/exercises/barbell-front-raise.html
Dumbbell Squat,dumbbell-squat,10,A1. Dumbbell Squat; 1. Dumbbell Squat,https://www.muscleandstrength.com/exercises/dumbbell-squat.html
Underhand Lat Pull Down,reverse-grip-lat-pull-down,10,Reverse Grip Lat Pulldown; Underhand Lat Pulldown; 3a. Reverse Grip Pulldown; 2b. Reverse Grip Lat Pull Down; d. Underhand Lat Pull Downs; 3b. Reverse Grip Pull Down; Reverse Lat Pulldown,https://www.muscleandstrength.com/exercises/reverse-grip-lat-pull-down.html
Smith Machine Shoulder Press,smith-machine-shoulder-press,10,2. Smith Machine Shoulder Press; Smith Military Press; 2. Seated Smith Machine Shoulder Press; 1. Machine Shoulder Press; Smith Machine Overhead Press; Overhead Smith Machine Press; Machine Shoulder Press - 3 sec negative,https://www.muscleandstrength.com/exercises/smith-machine-shoulder-press.html
Cardio (Eliptical or Tredmill),,10,,
Glute Kick Back,glute-kick-back,10,Donkey Kicks; 5. Glute Kick Back,https://www.muscleandstrength.com/exercises/glute-kick-back.html
Barbell/Dumbbell,,10,,
Bodyweight,,10,,
Single-Leg Dumbbell Calf Raise,standing-one-leg-calf-raise-with-dumbbell,10,Standing Single Leg Calf Raise; 2a. Single Leg Calf Raise; Standing Calf Raise (holding dumbbell); Standing One Leg Dumbbell Calf Raise; 5. Standing Dumbbell Calf Raise; 6. Standing Calf Raise; 4a. Single Leg Calf Raise,https://www.muscleandstrength.com/exercises/standing-one-leg-calf-raise-with-dumbbell.html
Seated Dumbell Curls/Skull Crushers (Superset),seated-dumbbell-curl,10,Seated Dumbbell Curls/Skull Crushers(Superset); 5a. Seated Dumbbell Biceps Curl; Seated Dumbbell Curls/Skull Crushers (Superset); Seated Dumbell Curls/ Skull Crushers (Superset); 6. Seated Curls,https://www.muscleandstrength.com/exercises/seated-dumbbell-curl.html
Reverse Crunch,lying-floor-knee-raise,9,Lying Knee Tucks; Dumbbell Knee-In,https://www.muscleandstrength.com/exercises/lying-floor-knee-raise.html
Machine Row,machine-row,9,6. Machine Row; Hammer Strength Low Row; Hammer Machine Row; 4. Machine Row or Close-Grip Pulldown; Hammer Strength Row,https://www.muscleandstrength.com/exercises/machine-row.html
Overhead Tricep Extension,overhead-tricep-extension,9,Overhead Triceps Extension; 4. Tricep Cable Overhead Extension; 4. Overhead Rope Extension,https://www.muscleandstrength.com/exercises/overhead-tricep-extension.html
Seated Dumbbell Calf Raise,one-leg-seated-dumbbell-calf-raise,9,5. Seated Dumbbell Calf Raise,https://www.muscleandstrength.com/exercises/one-leg-seated-dumbbell-calf-raise.html
Wide Grip Lat Pulldown,wide-grip-pull-down,8,3. Wide Grip Lat Pull Down; Wide Grip Lateral Pull Down; 2. Wide Unilateral Lat Pull-down (Pronated Grip); 1. Wide Grip Lat Pull Down,https://www.muscleandstrength.com/exercises/wide-grip-pull-down
Box Squat,box-squat-shown-with-bench,8,1. Box Squat; 1. 10 inch Box Squat; 2. 10 Inch Box Squat; 1. Box Squat*; Box Squat OR Step Up (controlled tempo),https://www.muscleandstrength.com/exercises/box-squat-shown-with-bench.html
Reverse Lunge (per leg),rear-bodyweight-lunge,8,3B: Reverse Lunges; A3. Rear Bodyweight Lunge; Rear Bodyweight Lunge; A6. Bodyweight Rear Lunge,https://www.muscleandstrength.com/exercises/rear-bodyweight-lunge.html
5. Standing Calf Raises,standing-machine-calf-raise,8,C1. Standing Calf Raise; 6. Standing Machine Calf Raise; Standing Calf Raise Machine; 5a. Machine Standing Calf Raises; 1. Machine Standing Calf Raise; 7. Standing Calf Raise,https://www.muscleandstrength.com/exercises/standing-machine-calf-raise
Russian Twist,russian-twist,8,Russian Twists; 4c. Russian Twist; 2b. Russian Twist; 1c. Twisting Crunch; Russian Twists (Abs) 3,https://www.muscleandstrength.com/exercises/russian-twist.html
Barbell Lunge,barbell-lunge,8,A1. Barbell Lunge; A2. Barbell Lunge; 4. Barbell Lunge; Alternating Barbell Lunges,https://www.muscleandstrength.com/exercises/barbell-lunge.html
Lying Dumbbell Extension,lying-dumbbell-extension,8,7. Lying Dumbbell Extension; 4b. Lying Dumbbell Triceps Extension; Lying Two Arm Dumbbell Tricep Extension; 6a. Dumbbell Skullcrushers; d. Dumbbell Skullcrushers,https://www.muscleandstrength.com/exercises/lying-dumbbell-extension.html
Dumbbell Hamstring Curl,dumbbell-hamstring-curl,8,Dumbbell Leg Curl; Dumbbell Lying Leg Curl (on the floor); 2. Dumbbell Hamstring Curl; 4. Dumbbell Hamstring Curl; Dumbbell Lying Leg Curl,https://www.muscleandstrength.com/exercises/dumbbell-hamstring-curl.html
Band Pull Apart,band-pull-apart,8,Band Pull-Aparts; Band Pull-Apart; 2d. Band Pull Apart; 1c. Band Pull Apart,https://www.muscleandstrength.com/exercises/band-pull-apart
Adduction Machine,hip-adduction-machine,8,Adductor Machine; Adduction Machine (or Banded); Hip Adduction Machine; A2. Hip Adduction Machine; Lying Adduction (dumbbells/bands*); Hip Adduction,https://www.muscleandstrength.com/exercises/hip-adduction-machine.html
Weighted Dips,weighted-tricep-dips,8,"Weighted Triceps Dip; (Weighted) Tricep Dips; 3. Weighted Dip; Weighted Tricep Dips (Add extra weight if necessary.); Weighted Tricep Dips (Work up to a top set of 5 reps. Rest, reduce the weight by 50%, and do as many reps as you can. Rest, and do a third set with just body weight for as many reps as you can.); 6c. Weighted Dips",https://www.muscleandstrength.com/exercises/weighted-tricep-dips.html
Cable Fly,cable-crossovers-%28mid-chest%29,8,Cable Crossover (superset #3); 3. Cable Fly**; Standing Cable Crossovers; Cable Crossover (triset #2); Stiff Arm Cable Crossover (triset #4),https://www.muscleandstrength.com/exercises/cable-crossovers-%28mid-chest%29.html
Hip Abduction Machine,hip-abduction-machine,8,Machine Hip Abduction; Abductor Machine; Abduction Machine (or Banded); A1. Hip Abduction Machine; Abductors,https://www.muscleandstrength.com/exercises/hip-abduction-machine.html
Floor Crunch or Planks,floor-crunch-legs-on-bench,8,Ab Crunches; Reverse/Lower Abs Crunch; Superset: Barbell hang clean and floor crunch; 3. Crunches; D1: Floor Crunch; Ab crunch; Crunch w/ Feet Elevated,https://www.muscleandstrength.com/exercises/floor-crunch-legs-on-bench.html
Reverse Barbell Curl,reverse-barbell-curl,7,Reverse Grip Barbell Curl; Reverse Barbell Curls (Cock your wrists back at the top of each rep to  make your forearms do the work.); Reverse Grip Barbell Curls,https://www.muscleandstrength.com/exercises/reverse-barbell-curl.html
Dumbbell Reverse Fly,dumbbell-reverse-fly,7,Seated Bent Over Rear Delt Fly; Dumbbell Reverse Flye,https://www.muscleandstrength.com/exercises/dumbbell-reverse-fly.html
Kettlebell Squat,kettlebell-goblet-squat,7,Kettlebell Goblet Squat; 1. Kettlebell Goblet Squat,https://www.muscleandstrength.com/exercises/kettlebell-goblet-squat
Bench step-ups,bodyweight-step-up,7,Step Ups; Bench Step Up; Step Up; C. Bench Step Up; Superset: Step-up and single leg calf raise; 1b. Step Ups,https://www.muscleandstrength.com/exercises/bodyweight-step-up.html
Plie Squat,pile-squat,7,Plie Squats; Plie Dumbbell Squats; 3. Dumbbell Plie Squat,https://www.muscleandstrength.com/exercises/pile-squat.html
Machine Lateral Raise,machine-lateral-raise,7,Machine Seated Lateral Raise; Seated Machine Lateral Raise; 5. Machine Lateral Raise,https://www.muscleandstrength.com/exercises/machine-lateral-raise.html
Sissy Squats,sissy-squat,7,Sissy Squat; A2. Sissy Squats*; A2. Sissy Squat; 1a. Sissy Squat,https://www.muscleandstrength.com/exercises/sissy-squat.html
V-bar Push-Downs,cable-tricep-extension-with-v-bar,7,Bent Overhead Cable V-Bar Extension; V Bar Pushdown; V Bar Tricep Pushdown; 5b. Triceps Extension; V-Bar Tricep Extension,https://www.muscleandstrength.com/exercises/cable-tricep-extension-with-v-bar.html
One Arm Overhead Dumbbell Extension,one-arm-dumbbell-extension,7,Single Arm Overhead Extension; 6. One Arm Overhead Extension; One Arm Dumbbell Extension; 6. Tricep Overhead Extension; One Arm Overhead Extension; 3. Single Arm Overhead Extension,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-extension.html
One Arm Seated Dumbbell Extension,one-arm-seated-dumbbell-extension,7,Single Arm Overhead Dumbbell Extension; One Arm Seated Dumbbell Extension (Pump); 3d. Single Arm Overhead Tricep Extension; 6. Overhead Alternating Dumbbell Extensions; One-Arm Dumbbell Extension,https://www.muscleandstrength.com/exercises/one-arm-seated-dumbbell-extension.html
B1. Cable Hammer Curl,rope-cable-curl,6,Rope Cable Curl; Cable Rope Hammer Curl; Rope Cable Curls; Cable Hammer Curl; 5. Cable Hammer Curls,https://www.muscleandstrength.com/exercises/rope-cable-curl.html
Barbell Reverse Lunge,barbell-rear-lunge,6,"3. Reverse Lunges; Giant set: Reverse lunge, single leg calf raise and bicycle crunch; Reverse Lunge with Front Kick; Reverse Barbell Lunges",https://www.muscleandstrength.com/exercises/barbell-rear-lunge.html
Hammer Machine Incline Press,hammer-strength-incline-bench-press,6,Incline Bench Press Machine; 1. Incline Chest Machine Press (warm up); 2. Machine Incline Press; Incline Machine Press,https://www.muscleandstrength.com/exercises/hammer-strength-incline-bench-press
Burpees,,6,,
Dumbbell Deadlift,dumbbell-deadlift,6,3. Dumbbell Deadlift; Kettlebell or dumbbell deadlifts; C1: Dumbbell Deadlift,https://www.muscleandstrength.com/exercises/dumbbell-deadlift.html
Close Grip Dumbbell Press on the Floor,close-grip-dumbbell-press,6,7. Close Grip Dumbbell Press; Close Grip Dumbbell Press; 1c) Close Grip Dumbbell Press on the Floor; Squeeze Press,https://www.muscleandstrength.com/exercises/close-grip-dumbbell-press.html
Kettlebell Row,bent-over-kettlebell-row,6,Kettlebell Single-Arm Row,https://www.muscleandstrength.com/exercises/bent-over-kettlebell-row
Single Arm Lateral Raise,alternate-dumbbell-lateral-raise,6,Front Dumbbell Raise,https://www.muscleandstrength.com/exercises/alternate-dumbbell-lateral-raise.html
Smith Machine Incline Bench Press,incline-smith-machine-bench-press,6,Smith Machine Incline Press; Incline Smith Press; 2a. Smith Machine Incline Bench,https://www.muscleandstrength.com/exercises/incline-smith-machine-bench-press.html
Wide Grip Barbell Upright Row,wide-grip-upright-rows,6,Wide Grip Upright Row; 3a. Wide Grip Upright Barbell Row; Upright Rows (Wide grip),https://www.muscleandstrength.com/exercises/wide-grip-upright-rows.html
Dumbbell Calf Raise,seated-dumbbell-calf-raise,6,4a. Seated Calf Raise; Seated Calf Raise**,https://www.muscleandstrength.com/exercises/seated-dumbbell-calf-raise.html
Chest Supported Dumbbell Row,chest-supported-dumbbell-row,6,Incline Bench Dumbbell Rows; 3b. Chest Supported Row; 4. Chest Supported Dumbbell Row; E. Seated Narrow Grip Row,https://www.muscleandstrength.com/exercises/chest-supported-dumbbell-row
Bench Dips,single-bench-dip,6,Tricep Dips 3,https://www.muscleandstrength.com/exercises/single-bench-dip.html
Neutral-Grip Pull-Up or Pulldown,v-bar-pull-up,6,1. Neutral Grip Pullups; Neutral Grip Pull Up; 2b. Weighted V-bar Pullups; V Handle Grip Pull Up,https://www.muscleandstrength.com/exercises/v-bar-pull-up.html
T-Bar Row (superset #1),machine-t-bar-row,6,3. T-bar Row; 5. T-bar Row; T-Bar Row (triset #4); T-Bar or Bent Over Rows,https://www.muscleandstrength.com/exercises/machine-t-bar-row.html
Two Arm Dumbbell Swings,double-kettlebell-swing,6,,https://www.muscleandstrength.com/exercises/double-kettlebell-swing
Single Leg Curl,single-leg-curl,5,Single Lying Leg Curl; 2. Single Leg Lying Curl; 4. Single Leg Curl; Single Leg Curl (each side),https://www.muscleandstrength.com/exercises/single-leg-curl.html
Lateral Lunge,barbell-side-lunge,5,4b. Lateral Lunge,https://www.muscleandstrength.com/exercises/barbell-side-lunge.html
Decline Bench Press,decline-bench-press,5,Decline Barbell Bench Press,https://www.muscleandstrength.com/exercises/decline-bench-press.html
7. Single Leg Bodyweight Glute Bridge,single-leg-glute-bridge,5,Single Leg Glute Bridge; 4b. Single Leg Bodyweight Hip Thrust; 5. Single Leg Glute Bridge (using exercise ball); 3b. Single Leg Glute Bridge,https://www.muscleandstrength.com/exercises/single-leg-glute-bridge
Weighted Hyperextensions,weighted-hyperextension,5,(Weighted) Hyperextension; 3. Weighted Hyperextension; 3b. Weighted Hyperextensions,https://www.muscleandstrength.com/exercises/weighted-hyperextension
Smith Machine Squat,smith-machine-squat,5,Smith Squats; Smith Machine Squats,https://www.muscleandstrength.com/exercises/smith-machine-squat.html
One Leg Leg Press,one-leg-45-degree-leg-press,5,Single Leg Press; 1 Leg Leg Press; Single-Leg Press; 1. Single Leg Press,https://www.muscleandstrength.com/exercises/one-leg-45-degree-leg-press.html
Assisted Pull Ups,band-assisted-pull-up-from-foot,5,Assisted pull ups / lat pull downs superset; Tri set: Assisted pull ups/lat pull down/seated row; 3. Assisted Pull Up; 2b. Band Assisted Pull Up,https://www.muscleandstrength.com/exercises/band-assisted-pull-up-from-foot
Cable Crossovers,cable-crossovers,5,Cable Crossovers (see instructions); Cable Crossovers (Drop Set); 5a. Cable Crossover,https://www.muscleandstrength.com/exercises/cable-crossovers.html
Lying Triceps Extension,back-of-the-head-lying-tricep-extension,5,,https://www.muscleandstrength.com/exercises/back-of-the-head-lying-tricep-extension.html
Zottman Curl,zottman-curl,5,6. Zottman Curl; Zottman Curl (Pump),https://www.muscleandstrength.com/exercises/zottman-curl.html
Pinwheel Curls - Power,hammer-curl-across-the-body,5,Pinwheel Curl - Power; Dumbbell Pinwheel Curl; Cross Body Hammer Curl,https://www.muscleandstrength.com/exercises/hammer-curl-across-the-body.html
One arm cable row (3-1-3 rep timing),one-arm-cable-row,5,"Notes: Try to complete all 30 reps on bench without racking bar, unless needed. For the row superset, you can pick which type of row exercise you would like to perform: 1-arm row Seated rows, T-bar rows, Face pulls, Rear delt fly, Upright rows, or Shrugs.; 1 Arm Cable Row",https://www.muscleandstrength.com/exercises/one-arm-cable-row.html
Alternate Dumbbell Curl,alternate-seated-dumbbell-curl,5,Alternate Seated Dumbbell Curl; Seated Alternating Dumbbell Curls,https://www.muscleandstrength.com/exercises/alternate-seated-dumbbell-curl.html
Seated French Press,overhead-barbell-extension,5,Seated French Press  - Muscle,https://www.muscleandstrength.com/exercises/overhead-barbell-extension.html
A2. Weighted Dips,weighted-chest-dip,5,"(Weighted) Dips; Assistance: 3 sets of weighted dips (5-8 reps), 3 sets of barbell curls and 3 sets of triceps extensions (8 reps).; Weighted Dips (Add weight when you can total 35)",https://www.muscleandstrength.com/exercises/weighted-chest-dip.html
Cable Lateral Raise,two-arm-cable-lateral-raise,5,Cable Side Lateral Raise; Standing Cable Lateral Raises; 3. Cable Lateral Raise,https://www.muscleandstrength.com/exercises/two-arm-cable-lateral-raise.html
Dumbbell Sumo Squat,sumo-squat,5,4B: Kettlebell Sumo Squats; Sumo Squat; Dumbbell Sumo Squats; 1a. Barbell Sumo Squats,https://www.muscleandstrength.com/exercises/sumo-squat.html
Arm Work,,5,,
Hammer Curls,alternate-standing-hammer-curl,5,6b. Alternating Dumbbell Hammer Curls; Hammer Curl (triset #1); Hammer Curl (Last set is a burnout set),https://www.muscleandstrength.com/exercises/alternate-standing-hammer-curl.html
Decline Dumbbell Bench Press,decline-dumbbell-bench-press,5,Decline Chest Press or Push Up; B2. Decline DB Press; Decline Dumbbell Press,https://www.muscleandstrength.com/exercises/decline-dumbbell-bench-press.html
One Arm Cable Curl,one-arm-cable-curl,5,1 Arm Cable Curl; One Arm Cable Curl (Pump); 3. Single Arm Cable Curl,https://www.muscleandstrength.com/exercises/one-arm-cable-curl.html
Standing Cable Reverse Fly,standing-cable-flys,5,Seated Machine Reverse Fly; Reverse Cable Fly; 4. Standing Rear Deltoid Cable Crossover; Rear Delt Cable Fly,https://www.muscleandstrength.com/exercises/standing-cable-flys.html
Banded Good Morning,banded-good-mornings,5,A. Banded Good Morning; Band Goodmornings,https://www.muscleandstrength.com/exercises/banded-good-mornings
V-Ups,bench-jack-knife,5,Seated V-Up; Jack Knife Sit-ups,https://www.muscleandstrength.com/exercises/bench-jack-knife.html
Prisoner Squat,,5,Prisoner squat,
Reverse Grip Cable Tricep Extension,reverse-grip-tricep-extension,4,Reverse Grip Pushdown; 2b. Reverse Grip Straight Bar Pushdown; 5b. Reverse Grip Pushdown,https://www.muscleandstrength.com/exercises/reverse-grip-tricep-extension.html
Donkey Calf Raise,donkey-calf-raise,4,A2. Donkey Calf Raise; 6a. Donkey Calf Raises,https://www.muscleandstrength.com/exercises/donkey-calf-raise.html
Pallof Press,pallof-press,4,Band Pallof Press; Pallof Press (each side),https://www.muscleandstrength.com/exercises/pallof-press
Rope Upright Rows,cable-upright-row,4,Wide Grip Cable Upright Row; 7. Cable Upright Row; Cable Upright Row,https://www.muscleandstrength.com/exercises/cable-upright-row.html
Seated Barbell Press Behind Neck,seated-barbell-press-behind-neck,4,Seated Behind the Neck Press; Seated Behind The Neck Press - Week 3,https://www.muscleandstrength.com/exercises/seated-barbell-press-behind-neck.html
Dynamic warm-up complex,,4,,
Perform the complex for one to three rounds,,4,,
10. Standing Dumbbell Reverse Curl,standing-dumbbell-reverse-curl,4,Reverse Curl; 4. Reverse Curls; 2. Reverse Curls,https://www.muscleandstrength.com/exercises/standing-dumbbell-reverse-curl.html
Vertical Leg Press,smith-machine-leg-press,4,Smith Machine Leg Press,https://www.muscleandstrength.com/exercises/smith-machine-leg-press
Dead Bugs,dead-bug,4,Dead Bug,https://www.muscleandstrength.com/exercises/dead-bug
Trap Bar Deadlift,trap-bar-deadlift,4,1. Trap Bar Deadlift,https://www.muscleandstrength.com/exercises/trap-bar-deadlift
Kettlebell Single-Arm Front Rack Alternating Lunges,kettlebell-reverse-lunge,4,Kettlebell Reverse Lunge to Shoulder Press; Front Rack Kettlebell Lunge; Kettlebell Reverse Lunge,https://www.muscleandstrength.com/exercises/kettlebell-reverse-lunge
Kettlebell Single-Arm Swing,one-arm-kettlebell-swing,4,One Arm Kettlebell Swing; Right Single Arm Swings; Left Single Arm Swings,https://www.muscleandstrength.com/exercises/one-arm-kettlebell-swing
Reverse Hyperextension,reverse-hyperextension,4,,https://www.muscleandstrength.com/exercises/reverse-hyperextension
Arm Circles,arm-circles,4,Arm Circles (Clockwise); Arm Circles (Counter Clockwise),https://www.muscleandstrength.com/exercises/arm-circles
Single Leg RDL,single-leg-one-dumbbell-deadlift,4,1a. Single Leg Deadlift; 3. Dumbbell Single Leg Deadlift; 2. Dumbbell Single Leg Deadlift,https://www.muscleandstrength.com/exercises/single-leg-one-dumbbell-deadlift
Behind the Back Upright Row,,4,,
Do 20-30 minutes of Zone 2 cardio,,4,,
Wood Chop (Reps are per side),wood-chop,4,Wood Chop; 3c. Standing Cable Twist; 5a. Cable Wood Chop,https://www.muscleandstrength.com/exercises/wood-chop.html
Jumping Jacks,,4,,
Barbell Walking Lunge,walking-barbell-lunge,4,5. Barbell Walking Lunge; Walking Lunges (triset #2); DB Walking Lunge,https://www.muscleandstrength.com/exercises/walking-barbell-lunge.html
Standing Glute Kickback,standing-glute-kickback,4,Glute Cable Kickback; 5. Machine Glute Kickbacks; 5. Glute Cable Kickback,https://www.muscleandstrength.com/exercises/standing-glute-kickback.html
- You choose the row exercise: 15-20 reps,,4,,
Trap Bar or Barbell Rack Pull,trap-bar-rack-pull,4,Speed Trap Bar or Barbell Rack Pull; Rack Pull Deadlift*; Rack Pull,https://www.muscleandstrength.com/exercises/trap-bar-rack-pull
"Incline Skull Crushers (Aim for 12-15 reps for the first set, as many as you can get for the second set.)",incline-skullcrusher,4,Incline Bench Skullcrushers; 5. Incline Skullcrusher; 5b. Incline Barbell Skull Crusher,https://www.muscleandstrength.com/exercises/incline-skullcrusher.html
Rope Hammer Curls,barbell-hammer-curl,4,Hammer Curls/Close Grip Bench (Superset),https://www.muscleandstrength.com/exercises/barbell-hammer-curl.html
2b. Reverse Hack Squat,reverse-hack-squat,4,Reverse Hack Squat; Reverse Hack Squats; 1. Reverse Hack Squats,https://www.muscleandstrength.com/exercises/reverse-hack-squat.html
Drop 15%,,4,,
Superset: Plyo push-up and inverted row,plyometric-push-up,4,B2: Plyometric Push-Up; Plyometric Push-Up; Plyometric Push Up,https://www.muscleandstrength.com/exercises/plyometric-push-up
Double Unders,,4,,
Core Work,,4,,
Rest day or active rest – any recreational activity of your choice.,,4,,
Split Squat Jump,split-squat-jump,3,Split Jumps; 4b. Split Jumps,https://www.muscleandstrength.com/exercises/split-squat-jump
4. Hack Squat,barbell-hack-squat,3,Barbell Hack Squat (90 secs rest between sets); Superset: Barbell Hack Squat and Sissy Squat ** (Rest 60-75 seconds between moves and 75-90 seconds between rounds),https://www.muscleandstrength.com/exercises/barbell-hack-squat.html
Landmine Romanian Deadlift,landmine-romanian-deadlift,3,C1. Landmine Romanian Deadlift,https://www.muscleandstrength.com/exercises/landmine-romanian-deadlift
Standing Calf Raises,smith-machine-calf-raise,3,1a. Standing Calf Raises; Smith Machine Calf Raise,https://www.muscleandstrength.com/exercises/smith-machine-calf-raise.html
Flat Dumbbell Fly,alternate-dumbbell-flys,3,,https://www.muscleandstrength.com/exercises/alternate-dumbbell-flys.html
Horizontal Leg Raise (floor),horizontal-leg-raise,3,Horizontal Leg Raise; Lying knee raises,https://www.muscleandstrength.com/exercises/horizontal-leg-raise.html
